5954,5,126.62,71,6,54888,695,14
4604,6,148.49,82,20,64650,960,15
5739,2,40.53,146,5,63656,258,22
1550,3,77.7,181,19,64350,500,26
6270,1,42.98,11,19,68869,296,23
1460,5,145.12,132,27,75799,1100,17
1869,2,34.81,180,6,68371,238,40
2047,1,37.6,89,6,66489,250,32
4771,4,105.23,165,6,47514,500,22
4880,6,189.59,82,30,76480,1450,15
1468,3,65.58,3,6,53369,350,22
2952,6,107.43,77,6,59573,640,13
3182,5,106.02,16,6,58007,615,14
1079,5,109.85,23,6,41420,455,11
3506,5,147.9,55,33,70993,1050,4
462,2,47.67,82,7,69225,330,21
2525,5,154.8,73,37,104651,1620,14
1717,2,47.44,70,6,39629,188,27
2829,4,74.0,82,22,78378,580,27
3895,2,44.23,29,6,55392,245,23
385,2,44.22,158,6,81411,360,20
3209,3,55.9,79,7,80500,450,30
3083,2,42.0,79,5,78571,330,30
4033,2,59.87,44,8,65141,390,7
6660,2,47.0,73,5,78723,370,42
1728,3,90.25,171,34,75900,685,20
5051,2,41.55,17,6,75090,312,18
5167,2,39.88,118,6,80240,320,28
4037,2,61.58,70,6,43845,270,20
4646,2,50.9,37,5,58939,300,36
2775,3,71.94,66,6,44481,320,8
6578,5,112.04,126,26,45519,510,11
192,5,94.31,92,6,35309,333,22
312,2,39.25,73,6,81528,320,39
611,5,141.96,12,34,72555,1030,11
3668,4,84.79,180,6,73121,620,23
5672,1,33.25,17,7,98646,328,21
3359,5,115.74,55,14,80352,930,13
212,4,101.62,153,7,85121,865,12
91,2,54.8,28,11,91240,500,13
3145,3,50.57,80,6,58334,295,37
5247,4,110.58,4,11,51546,570,12
4949,5,114.14,0,11,56947,650,13
4408,3,89.71,181,25,66882,600,20
2957,5,166.94,39,27,101832,1700,9
5350,4,72.91,109,7,47318,345,9
2570,2,41.84,72,6,57361,240,27
2928,4,102.75,73,22,97323,1000,17
4010,3,51.38,106,5,81743,420,38
136,2,58.21,98,18,46383,270,10
6771,5,138.67,22,8,79325,1100,11
220,5,120.83,96,11,78209,945,13
6061,3,53.03,150,6,49971,265,23
1106,3,58.81,72,6,54412,320,21
6553,3,43.7,10,6,52631,230,26
6000,5,134.6,90,28,89153,1200,14
186,5,112.6,4,6,44404,500,16
3253,4,81.57,111,11,34939,285,11
5774,5,178.92,142,37,87636,1568,11
3749,4,83.48,3,18,63488,530,11
153,3,55.98,16,7,54483,305,23
1688,4,113.7,108,35,109938,1250,8
462,1,33.05,82,7,75037,248,21
3814,8,178.25,137,11,53856,960,14
882,5,98.14,154,6,56042,550,14
5579,5,115.79,9,6,73408,850,16
3253,4,77.83,111,14,35333,275,11
128,2,41.26,72,6,55259,228,23
6658,1,48.37,7,16,56853,275,24
3209,2,40.9,79,7,77017,315,30
4258,5,192.57,71,5,64911,1250,15
4082,4,75.23,109,5,41206,310,12
4834,3,81.0,136,6,75308,610,22
2401,4,98.89,42,16,82920,820,5
6648,5,150.97,19,31,94588,1428,14
2766,3,69.14,143,20,125831,870,28
