5954,5,126.62,71,6,14,695
4604,6,148.49,82,20,15,960
5739,2,40.53,146,5,22,258
1550,3,77.7,181,19,26,500
6270,1,42.98,11,19,23,296
1460,5,145.12,132,27,17,1100
1869,2,34.81,180,6,40,238
2047,1,37.6,89,6,32,250
4771,4,105.23,165,6,22,500
4880,6,189.59,82,30,15,1450
1468,3,65.58,3,6,22,350
2952,6,107.43,77,6,13,640
3182,5,106.02,16,6,14,615
1079,5,109.85,23,6,11,455
3506,5,147.9,55,33,4,1050
462,2,47.67,82,7,21,330
2525,5,154.8,73,37,14,1620
1717,2,47.44,70,6,27,188
2829,4,74.0,82,22,27,580
3895,2,44.23,29,6,23,245
385,2,44.22,158,6,20,360
3209,3,55.9,79,7,30,450
3083,2,42.0,79,5,30,330
4033,2,59.87,44,8,7,390
6660,2,47.0,73,5,42,370
1728,3,90.25,171,34,20,685
5051,2,41.55,17,6,18,312
5167,2,39.88,118,6,28,320
4037,2,61.58,70,6,20,270
4646,2,50.9,37,5,36,300
2775,3,71.94,66,6,8,320
6578,5,112.04,126,26,11,510
192,5,94.31,92,6,22,333
312,2,39.25,73,6,39,320
611,5,141.96,12,34,11,1030
3668,4,84.79,180,6,23,620
5672,1,33.25,17,7,21,328
3359,5,115.74,55,14,13,930
212,4,101.62,153,7,12,865
91,2,54.8,28,11,13,500
3145,3,50.57,80,6,37,295
5247,4,110.58,4,11,12,570
4949,5,114.14,0,11,13,650
4408,3,89.71,181,25,20,600
2957,5,166.94,39,27,9,1700
5350,4,72.91,109,7,9,345
2570,2,41.84,72,6,27,240
2928,4,102.75,73,22,17,1000
4010,3,51.38,106,5,38,420
136,2,58.21,98,18,10,270
6771,5,138.67,22,8,11,1100
220,5,120.83,96,11,13,945
6061,3,53.03,150,6,23,265
1106,3,58.81,72,6,21,320
6553,3,43.7,10,6,26,230
6000,5,134.6,90,28,14,1200
186,5,112.6,4,6,16,500
3253,4,81.57,111,11,11,285
5774,5,178.92,142,37,11,1568
3749,4,83.48,3,18,11,530
153,3,55.98,16,7,23,305
1688,4,113.7,108,35,8,1250
462,1,33.05,82,7,21,248
3814,8,178.25,137,11,14,960
882,5,98.14,154,6,14,550
5579,5,115.79,9,6,16,850
3253,4,77.83,111,14,11,275
128,2,41.26,72,6,23,228
6658,1,48.37,7,16,24,275
3209,2,40.9,79,7,30,315
4258,5,192.57,71,5,15,1250
4082,4,75.23,109,5,12,310
4834,3,81.0,136,6,22,610
2401,4,98.89,42,16,5,820
6648,5,150.97,19,31,14,1428
2766,3,69.14,143,20,28,870
3215,3,56.88,81,16,29,455
4346,3,64.38,116,6,24,265
2212,4,89.33,173,4,14,520
2212,4,101.96,173,4,14,525
6843,3,87.48,145,24,20,580
4791,4,94.46,3,16,11,590
5586,3,57.62,100,6,32,213
1930,4,94.09,77,26,10,620
1577,2,50.93,172,6,9,245
3847,3,59.91,118,6,22,635
3440,2,67.39,136,29,15,410
6737,5,141.16,73,18,12,1450
3078,4,114.0,55,25,10,980
6056,2,45.47,70,6,23,235
5629,5,125.0,10,8,15,820
6223,4,93.62,161,17,11,665
4523,2,46.72,116,6,36,200
3595,3,53.91,34,5,42,450
2767,1,27.8,72,6,34,165
3054,5,110.88,11,9,18,900
3192,4,76.19,172,11,9,380
6377,3,65.44,173,6,22,275
6223,4,89.0,161,18,9,735
3382,3,48.52,27,6,26,315
4195,6,194.3,73,34,14,1400
1096,5,153.24,81,24,22,1050
1313,5,143.77,42,17,13,1200
4408,3,69.84,181,6,21,435
2298,1,33.0,181,5,39,220
1463,3,62.52,40,6,22,365
1600,3,59.82,40,6,27,285
1634,1,29.0,34,6,37,258
1924,8,355.58,44,2,12,2200
2450,3,63.0,116,13,29,265
6255,3,75.73,112,11,13,618
97,4,96.05,2,18,11,695
3942,3,50.41,65,6,25,305
3358,5,119.92,40,7,18,600
3118,2,29.53,80,5,33,210
4906,2,47.78,133,5,40,160
2640,2,51.0,40,6,20,262
166,1,34.6,7,5,31,220
2888,3,75.54,10,18,17,385
6308,6,164.43,73,24,16,1550
569,4,90.07,6,28,7,838
3364,4,92.0,137,32,12,620
1506,3,62.7,154,6,20,365
2453,2,33.03,116,5,39,145
686,3,66.77,13,5,18,355
6408,4,101.97,164,18,15,705
2538,2,44.49,145,6,39,290
5222,3,52.93,133,6,27,210
